cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2600,C5,L1,MLP,86,8,completed,1789115003.9,1789115086.3,82.5,
2601,C5,L1,MLP,123,8,completed,1789115086.4,1789115143.4,57.0,
2602,C5,L1,MLP,456,8,completed,1789115143.5,1789115209.0,65.6,
2603,C5,L1,MLP,789,8,completed,1789115209.1,1789115283.0,74.0,
2604,C5,L1,MLP,1024,8,completed,1789115283.1,1789115340.1,57.1,
2605,C5,L1,MLP,2024,8,completed,1789115340.2,1789115417.1,76.9,
2606,C5,L1,MLP,7,8,completed,1789115417.2,1789115471.5,54.3,
2607,C5,L1,MLP,34,8,completed,1789115471.5,1789115580.5,109.0,
2608,C5,L1,MLP,99,8,completed,1789115580.5,1789115635.1,54.6,
2609,C5,L1,MLP,2026,8,completed,1789115635.2,1789115695.6,60.4,
2490,C5,L0,LightGBM,86,9,completed,1789115695.9,1789115696.4,0.6,
2491,C5,L0,LightGBM,123,9,completed,1789115696.5,1789115697.2,0.6,
2492,C5,L0,LightGBM,456,9,completed,1789115697.2,1789115697.9,0.7,
2493,C5,L0,LightGBM,789,9,completed,1789115697.9,1789115698.5,0.6,
2494,C5,L0,LightGBM,1024,9,completed,1789115698.6,1789115699.2,0.6,
2495,C5,L0,LightGBM,2024,9,completed,1789115699.2,1789115699.8,0.6,
2496,C5,L0,LightGBM,7,9,completed,1789115699.8,1789115700.5,0.6,
2497,C5,L0,LightGBM,34,9,completed,1789115700.5,1789115701.1,0.6,
2498,C5,L0,LightGBM,99,9,completed,1789115701.2,1789115701.8,0.6,
2499,C5,L0,LightGBM,2026,9,completed,1789115701.8,1789115702.5,0.7,
2610,C5,L1,MLP,86,9,completed,1789115702.5,1789115779.9,77.4,
2611,C5,L1,MLP,123,9,completed,1789115780.0,1789115841.9,62.0,
2612,C5,L1,MLP,456,9,completed,1789115842.0,1789115900.8,58.8,
2613,C5,L1,MLP,789,9,completed,1789115900.8,1789115968.8,68.0,
2614,C5,L1,MLP,1024,9,completed,1789115968.9,1789116036.9,68.1,
2615,C5,L1,MLP,2024,9,completed,1789116037.0,1789116102.0,65.0,
2616,C5,L1,MLP,7,9,completed,1789116102.0,1789116188.6,86.6,
2617,C5,L1,MLP,34,9,completed,1789116188.7,1789116265.9,77.3,
